"link","provider","rating"
"https://www.classcentral.com/course/swayam-introduction-to-poultry-farming-14160","IGNOU","Introduction to Poultry Farming from IGNOU ★★★★★(1)"
"https://www.classcentral.com/course/swayam-geography-of-tourism-14092","University of Mysore","Geography of Tourism from University of Mysore ★★★★★(1)"
"https://www.classcentral.com/course/swayam-design-thinking-a-primer-12998","Indian Institute of Technology Madras","Design Thinking – A Primer from Indian Institute of Technology Madras"
"https://www.classcentral.com/course/swayam-business-ethics-7932","Indian Institute of Technology, Kharagpur","Business Ethics from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-human-resource-development-14113","Indian Institute of Technology, Kharagpur","Human Resource Development from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-leadership-14173","Indian Institute of Technology, Kharagpur","Leadership from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-entrepreneurship-and-ip-strategy-19857","Indian Institute of Technology, Kharagpur","Entrepreneurship and IP strategy from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-principles-of-management-19977","Indian Institute of Technology, Kharagpur","Principles of Management from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-managing-services-3969","Indian Institute of Technology Kanpur","Managing Services from Indian Institute of Technology Kanpur"
"https://www.classcentral.com/course/swayam-marketing-management-i-5308","Indian Institute of Technology Kanpur","Marketing Management-I from Indian Institute of Technology Kanpur"
"https://www.classcentral.com/course/swayam-organization-development-and-change-in-21st-century-19963","Indian Institute of Technology Bombay","Organization Development and Change in 21st Century from Indian Institute of Technology Bombay"
"https://www.classcentral.com/course/swayam-managerial-economics-19944","Indian Institute of Technology Bombay","Managerial Economics from Indian Institute of Technology Bombay"
"https://www.classcentral.com/course/swayam-financial-accounting-iitb-19866","Indian Institute of Technology Bombay","Financial Accounting – IITB from Indian Institute of Technology Bombay"
"https://www.classcentral.com/course/swayam-cost-accounting-13968","Indian Institute of Technology Bombay","Cost Accounting from Indian Institute of Technology Bombay"
"https://www.classcentral.com/course/swayam-project-management-for-managers-14261","Indian Institute of Technology Roorkee","Project management for managers from Indian Institute of Technology Roorkee"
"https://www.classcentral.com/course/swayam-business-analytics-data-mining-modeling-using-r-part-ii-13931","Indian Institute of Technology Roorkee","Business Analytics & Data Mining Modeling Using R Part II from Indian Institute of Technology Roorkee"
"https://www.classcentral.com/course/swayam-business-analytics-text-mining-modeling-using-python-13932","Indian Institute of Technology Roorkee","Business Analytics & Text Mining Modeling Using Python from Indian Institute of Technology Roorkee"
"https://www.classcentral.com/course/swayam-marketing-research-and-analysis-14185","Indian Institute of Technology Roorkee","Marketing research and analysis from Indian Institute of Technology Roorkee"
"https://www.classcentral.com/course/swayam-management-accounting-14177","Indian Institute of Technology Roorkee","Management Accounting from Indian Institute of Technology Roorkee"
"https://www.classcentral.com/course/swayam-training-of-trainers-14344","Indian Institute of Technology Roorkee","Training of Trainers from Indian Institute of Technology Roorkee"
"https://www.classcentral.com/course/swayam-business-statistics-12992","Indian Institute of Technology Roorkee","Business Statistics from Indian Institute of Technology Roorkee"
"https://www.classcentral.com/course/swayam-working-capital-management-14361","Indian Institute of Technology Roorkee","Working Capital Management from Indian Institute of Technology Roorkee"
"https://www.classcentral.com/course/swayam-innovation-business-models-and-entrepreneurship-14127","Indian Institute of Technology Roorkee","Innovation, Business Models and Entrepreneurship from Indian Institute of Technology Roorkee"
"https://www.classcentral.com/course/swayam-mathematical-portfolio-theory-19947","Indian Institute of Technology Guwahati","Mathematical Portfolio Theory from Indian Institute of Technology Guwahati"
"https://www.classcentral.com/course/swayam-decision-making-under-uncertainty-13987","Texas A&M University","Decision-Making Under Uncertainty from Texas A&M University"
"https://www.classcentral.com/course/swayam-decision-support-system-for-managers-19837","NPTEL","Decision Support System for Managers from NPTEL"
"https://www.classcentral.com/course/swayam-financial-accounting-iitmandi-19867","NPTEL","Financial accounting – IITMandi from NPTEL"
"https://www.classcentral.com/course/swayam-new-product-development-14210","Indian Institute of Management Bangalore","New Product Development from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-the-essence-of-leadership-explorations-from-literature-20010","Indian Institute of Management Bangalore","The Essence of Leadership: Explorations from Literature from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-organizational-design-creating-competitive-advantage-14224","Indian Institute of Management Bangalore","Organizational Design: Creating Competitive Advantage from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-advanced-corporate-strategy-17505","Indian Institute of Management Bangalore","Advanced Corporate Strategy from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-banking-and-financial-markets-a-risk-management-perspective-17522","Indian Institute of Management Bangalore","Banking and Financial Markets: A Risk Management Perspective from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-strategic-management-14306","Indian Institute of Management Bangalore","Strategic Management from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-financial-accounting-and-analysis-14055","Indian Institute of Management Bangalore","Financial Accounting and Analysis from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-customer-relationship-management-13977","Indian Institute of Management Bangalore","Customer Relationship Management from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-introduction-to-banking-and-financial-markets-17654","Indian Institute of Management Bangalore","Introduction to Banking and Financial Markets from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-managing-innovation-14179","Indian Institute of Management Bangalore","Managing Innovation from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-management-accounting-for-decision-making-14178","Indian Institute of Management Bangalore","Management Accounting for Decision Making from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-introduction-to-marketing-essentials-14156","Indian Institute of Management Bangalore","Introduction to Marketing Essentials from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-quantitative-marketing-research-17753","Indian Institute of Management Bangalore","Quantitative Marketing Research from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-introduction-to-retail-management-14163","Indian Institute of Management Bangalore","Introduction to Retail Management from Indian Institute of Management Bangalore"
"https://www.classcentral.com/course/swayam-corporate-tax-planning-13966","Netaji Subhas Open University, Kolkata","Corporate Tax Planning from Netaji Subhas Open University, Kolkata"
"https://www.classcentral.com/course/swayam-building-cost-estimation-simplified-20226","IGNOU","Building cost estimation simplified from IGNOU"
"https://www.classcentral.com/course/swayam-bhc-013-event-coordination-and-control-20224","IGNOU","BHC-013: Event Coordination and Control from IGNOU"
"https://www.classcentral.com/course/swayam-bhc-012-event-planning-20223","IGNOU","BHC-012: Event Planning from IGNOU"
"https://www.classcentral.com/course/swayam-production-management-20266","IGNOU","Production Management from IGNOU"
"https://www.classcentral.com/course/swayam-bhc-011-basics-of-event-management-20215","IGNOU","BHC-011: Basics of Event Management from IGNOU"
"https://www.classcentral.com/course/swayam-ts-2-tourism-development-products-20007","IGNOU","TS-2: Tourism Development Products from IGNOU"
"https://www.classcentral.com/course/swayam-ts-1-foundation-course-in-tourism-20006","IGNOU","TS-1: Foundation Course In Tourism from IGNOU"
"https://www.classcentral.com/course/swayam-introduction-to-gst-14150","Netaji Subhas Open University, Kolkata","Introduction to GST from Netaji Subhas Open University, Kolkata"
"https://www.classcentral.com/course/swayam-indian-agricultural-development-14119","IGNOU","Indian Agricultural Development from IGNOU"
"https://www.classcentral.com/course/swayam-organisation-behaviour-20262","CEC","Organisation Behaviour from CEC"
"https://www.classcentral.com/course/swayam-basics-of-digital-marketing-13909","Devi Ahilya Viswavidyalaya, Indore","Basics of Digital Marketing from Devi Ahilya Viswavidyalaya, Indore"
"https://www.classcentral.com/course/swayam-financial-accounting-14053","Devi Ahilya Viswavidyalaya, Indore","Financial Accounting from Devi Ahilya Viswavidyalaya, Indore"
"https://www.classcentral.com/course/swayam-hospitality-industry-in-tourism-14110","University of Mysore","Hospitality Industry In Tourism from University of Mysore"
"https://www.classcentral.com/course/swayam-tourism-and-travel-management-14339","University of Mysore","Tourism And Travel Management from University of Mysore"
"https://www.classcentral.com/course/swayam-tourism-resources-of-india-14341","University of Mysore","Tourism Resources of India from University of Mysore"
"https://www.classcentral.com/course/swayam-tourism-transport-and-travel-services-14342","University of Mysore","Tourism Transport and Travel Services from University of Mysore"
"https://www.classcentral.com/course/swayam-hrm-for-non-hr-managers-20241","CEC","HRM FOR NON-HR MANAGERS from CEC"
"https://www.classcentral.com/course/swayam-quantitative-techniques-for-management-20268","CEC","Quantitative Techniques for Management from CEC"
"https://www.classcentral.com/course/swayam-fundamental-of-insurance-19873","CEC","Fundamental of Insurance from CEC"
"https://www.classcentral.com/course/swayam-business-research-methods-19811","CEC","Business Research Methods from CEC"
"https://www.classcentral.com/course/swayam-corporate-finance-20233","CEC","Corporate Finance from CEC"
"https://www.classcentral.com/course/swayam-special-services-marketing-in-india-20000","Savitribai Phule Pune University","Special Services Marketing in India from Savitribai Phule Pune University"
"https://www.classcentral.com/course/swayam-organizational-behaviour-17720","CEC","Organizational behaviour from CEC"
"https://www.classcentral.com/course/swayam-ecommerce-technologies-19851","CEC","Ecommerce Technologies from CEC"
"https://www.classcentral.com/course/swayam-entrepreneurship-development-19847","CEC","ENTREPRENEURSHIP DEVELOPMENT from CEC"
"https://www.classcentral.com/course/swayam-fundamentals-of-financial-accounting-19877","Savitribai Phule Pune University","Fundamentals of Financial Accounting from Savitribai Phule Pune University"
"https://www.classcentral.com/course/swayam-international-business-19899","CEC","International Business from CEC"
"https://www.classcentral.com/course/swayam-international-tourism-destinantions-19900","CEC","International Tourism Destinantions from CEC"
"https://www.classcentral.com/course/swayam-fundamentals-of-office-management-methods-19878","Savitribai Phule Pune University","Fundamentals of Office Management & Methods from Savitribai Phule Pune University"
"https://www.classcentral.com/course/swayam-supply-chain-management-14314","Avianshilingam Institute for Home Science and Higher Education for Women, Coimbatore","Supply Chain Management from Avianshilingam Institute for Home Science and Higher Education for Women, Coimbatore"
"https://www.classcentral.com/course/swayam-business-studies-xi-part-i-19812","NCERT","Business Studies XI Part-I from NCERT"
"https://www.classcentral.com/course/swayam-accountancy-xi-part-i-17500","NCERT","Accountancy XI Part-I from NCERT"
"https://www.classcentral.com/course/swayam-business-studies-xii-part-i-17536","NCERT","Business Studies XII Part-I from NCERT"
"https://www.classcentral.com/course/swayam-secondary-data-entry-operations-229-17768","NIOS","Secondary : Data Entry Operations (229) from NIOS"
"https://www.classcentral.com/course/swayam-secondary-business-studies-215-17767","NIOS","Secondary : Business Studies (215) from NIOS"
"https://www.classcentral.com/course/swayam-secondary-accountancy-224-17765","NIOS","Secondary : Accountancy (224) from NIOS"
"https://www.classcentral.com/course/swayam-sr-secondary-accountancy-320-17801","NIOS","Sr.Secondary : Accountancy (320) from NIOS"
"https://www.classcentral.com/course/swayam-senior-secondary-business-studies-319-17783","NIOS","Senior Secondary : Business Studies (319) from NIOS"
"https://www.classcentral.com/course/swayam-innovation-and-start-up-policy-17641","IILM Institute for Higher Education","Innovation and Start-up Policy from IILM Institute for Higher Education"
"https://www.classcentral.com/course/swayam-consumer-buying-behaviour-17552","Welingkar Institute of Management","Consumer Buying Behaviour from Welingkar Institute of Management"
